disp,ra,dec,orbper,duration,depth,rad,steff,logg,srad
0,296.003935,-47.56203,6.4438657,1.9309449,1121.9512275,2.460344,4803.0,4.52079,0.737189
0,296.003935,-47.56203,12.2265595,2.1904379,1206.3693293,2.6014766,4803.0,4.52079,0.737189
0,286.36675,-50.06735,2.160344,1.828854,19357.992992,22.503541,5780.0,4.32928,1.2
0,285.096517,-54.893341,4.606184,3.121643,13793.034867,12.962219,5670.0,4.3925,1.07
0,288.672005,-59.57935,3.1316735,2.4579197,14915.6943722,9.4995191,4351.0,4.438,0.76701
0,284.399762,-49.138513,3.180362,2.111521,21192.463324,13.446487,5498.0,4.47934,0.92
0,289.479212,-32.860124,2.9776446,2.962,13022.0,14.4339,5703.0,4.25824,1.22
0,313.783239,-34.135751,3.9502008,4.444,13914.0,20.5357,6153.0,4.18077,1.71
1,289.478541,-32.861327,2.9776152,3.25697,43218.111683,26.88423,5740.0,4.29219,1.28
0,280.184169,-58.459388,3.5544026,2.0550535,10164.8753396,13.200677,5639.0,4.37172,1.11499
1,75.627307,-72.913998,12.8379689,9.8464123,10539.0192794,25.4886382,5765.0,4.34773,2.4494
0,287.484402,-49.664942,3.9228016,1.8736007,31510.9004906,13.3368705,4444.0,4.438,0.6983
1,310.761004,-72.010267,13.9428705,3.7522756,1015.395543,2.4233421,5206.0,4.63095,0.741671
0,309.971209,-65.449699,0.6047392,1.0403847,1027.6833479,1.8625587,4046.0,4.60963,0.580337
0,294.633694,-55.330269,2.5495611,2.6173308,14921.4021936,12.9171288,5659.0,4.44653,1.03997
1,173.810798,-88.096213,1.6062693,1.9561305,16725.3019333,12.6436029,5192.0,4.4617,0.984326
0,306.928646,-56.462287,0.5182425,0.8565249,831.8920424,1.3485121,3325.0,4.88693,0.390989
1,283.119492,-55.387928,3.1644075,2.0576293,5603.4635466,14.8814743,6519.0,4.22068,1.7234
0,316.96148,-26.09672,3.0440541,2.5984575,22236.0165376,12.1086799,5523.0,4.52192,0.809868
1,276.368325,-52.214573,3.9652485,1.0112593,3680.7544436,1.2305102,3296.0,4.96636,0.199988
1,282.140409,-40.11177,2.98278,3.109528,6136.231662,11.467011,6027.0,4.29978,1.23975
1,83.275809,-80.815478,16.3469053,3.5865698,2212.4257252,3.5059571,4310.0,4.57345,0.649613
1,296.822194,-87.32281,12.9802953,2.5034417,2407.2608671,2.4241912,3614.0,4.81257,0.491323
0,268.890707,-61.7474,1.3484961,2.4074261,18463.7636682,15.8824638,6346.0,4.38484,1.14759
1,77.605399,-59.535664,3.2541181,4.341,13620.0,14.9476,6102.0,4.28649,1.28
1,305.56982,-88.568495,3.7178828,5.5277827,4864.8405125,14.6986197,5818.0,4.33787,2.0840001
1,238.001011,-76.49349,9.30992,3.464,2220.0,14.2968,6907.0,3.63,3.09
1,272.311383,-76.300955,1.15395,2.236,1550.0,5.48364,6093.0,4.2,1.4
1,228.84306,-52.885989,4.73703,3.902,2410.0,25.7144,11600.0,4.13,2.48
0,313.215475,-25.687376,2.76676,2.6872178,14947.4387827,12.2867389,5346.0,4.48823,0.984866
1,242.016315,-68.588832,2.19296,4.586,4933.74,22.7769,7009.8,3.6,2.95
1,222.101134,-56.025931,1.725841,3.674,2710.0,15.0024,7348.0,3.9,2.39
1,217.022882,-64.634285,1.1923,3.119,3730.0,30.666,6534.0,3.95,2.04
1,215.805264,-63.045983,11.47606,6.083,3050.0,,,,
1,230.498827,-53.819601,0.5971314,0.468,910.0,9.08382,7710.0,3.98,2.28
1,133.968965,-75.926187,1.4821386,2.1867078,2102.6568299,13.7339261,7066.0,3.78,2.6647301
1,133.826684,-73.173308,0.9209526,1.8602735,360.8801529,5.7349089,6553.0,3.65,2.8908899
0,189.775859,-74.57402,9.188506,2.492,460.0,2.16591,5876.0,4.48,0.98
0,189.775859,-74.57402,13.9028391,2.1264429,647.2701039,2.6136848,5876.0,4.48,0.983215
0,192.589285,-88.121111,10.1826983,2.8275109,667.4752458,3.0538057,6153.0,4.34814,1.14582
0,328.718171,-77.338802,6.441006,1.812,914.0,2.56374,4867.0,4.438,0.8
0,5.618525,-59.942589,3.1743504,2.751086,15457.3247576,14.9172256,5943.0,4.42524,1.15706
1,9.126138,-83.567067,20.0731588,3.8449215,1152.9645461,4.0506906,6033.0,4.37,1.14849
1,319.551469,-77.529113,2.66903,1.548,3110.0,9.36823,5803.5,4.07,1.56
1,263.003209,-76.858265,6.63371,2.122,1555.34,2.75375,4138.1,4.54,0.63
1,310.086743,-63.789963,2.94308,4.073,4490.0,45.3525,4437.0,,3.13
1,279.721286,-85.709137,341.2811281,6.303026,972.5797241,4.7531892,6058.6,4.2,1.39203
1,146.053969,-89.471513,10.8680523,2.375,1553.0,2.90726,4664.0,4.55,0.76
1,253.110033,-79.135182,11.1149,2.26,900.0,14.7645,5042.0,,4.94
0,155.607863,-82.218869,4.0782392,4.8475616,6046.6959687,13.898174,6501.0,4.08,1.74836
1,274.221618,-68.197779,7.14386,1.467,11146.4,22.1531,7860.0,4.15,1.91
1,30.198486,-77.610376,7.04083,2.979,1580.0,8.46404,5317.0,4.49,0.91
0,0.774487,-62.469317,2.1061569,1.4688934,12142.2238514,13.086872,5380.0,4.4337,0.940697
1,286.791829,-58.697242,2.4545635,2.321,4248.0,11.1276,6610.0,4.15,1.64
1,291.373783,-60.941042,11.4756978,0.808,8341.0,14.1098,7262.0,4.0,2.13
1,163.628917,-87.269735,2.78186,2.456,490.0,4.92567,6819.0,3.92,2.21
1,328.710839,-77.337433,6.4410082,1.798,7076.0,4.59203,3469.0,4.71,0.53
1,302.147728,-71.552443,2.4887726,2.632,4852.0,,8048.0,4.438,
1,283.301843,-54.910806,4.45199,2.109,8483.38,15.8858,6708.3,4.2,1.57
1,27.699972,-75.848774,5.0100708,2.0644756,409.4812214,2.3107394,5551.0,4.46214,0.906282
1,273.602061,-66.419974,2.2281625,2.015,630.0,2.56778,5731.0,4.43,1.02
1,277.432937,-44.625506,4.13812,3.911,5560.0,,4898.4,,
1,292.604815,-46.278074,10.95663,3.588,3830.0,23.9726,6456.0,3.92,2.07
0,55.933639,-65.19378,2.4997996,2.865171,14621.2059647,13.8516093,5650.0,4.28867,1.13732
1,293.389272,-45.892667,1.66226,3.321,6030.0,13.3343,7301.0,4.23,1.64
1,269.648642,-46.065523,4.07611,2.062,1454.18,,,,
1,281.369481,-52.262928,3.6245513,3.042,1299.0,4.3503,6317.0,,1.38
1,292.391505,-37.304009,1.20928,1.886,11883.8,15.1764,5159.8,4.23,1.27
1,300.212928,-43.982529,3.5187707,2.408,5634.0,14.0061,6690.0,4.24,1.49
1,298.287708,-46.369991,0.7724825,1.3744974,211.3168519,4.1624907,8271.0,3.95,2.5027299
1,279.062469,-43.620606,1.6268695,3.231,1502.0,2.36498,5034.0,4.64,0.73
1,292.195297,-36.00026,2.32439,4.453,2704.18,,8268.5,3.93,
1,289.761799,-43.074223,13.5499,1.795,1180.0,6.24633,6209.0,4.09,1.63
1,284.157959,-29.398357,4.43651,3.365,1520.0,19.9664,7101.9,3.91,2.32
0,332.714337,-30.749719,3.372877,2.63426,17163.60419,14.201803,6050.0,4.45061,1.02
0,286.376004,-41.43764,8.34998,1.836,16680.0,11.1424,4236.0,4.52,0.74
0,286.376004,-41.43764,4.0686405,1.8373729,2650.0950013,3.7548333,4236.0,4.52,0.741921
1,248.433545,61.718334,0.5860366,0.8098934,410.5241553,4.906408,5579.0,3.67,2.39803
1,298.781281,54.781445,1.5502952,2.938,411.0,3.34528,7851.0,4.17,1.86
1,294.824079,31.958037,1.80709,3.297,450.0,4.86242,6244.0,3.84,2.2
1,290.02096,36.637774,18.6922101,7.765,11126.0,18.1458,6277.0,4.09,1.65
0,193.39637,85.129495,8.0277326,4.284,5705.0,9.06883,5962.7,4.38,1.15
0,192.184898,64.855276,12.5187279,5.38,2320.0,5.58857,5729.0,4.47,0.98
0,192.184898,64.855276,6.2586065,3.201,813.0,2.51593,5729.0,4.47,0.98
0,192.184898,64.855276,26.3208756,4.414,800.0,2.71349,5729.0,4.47,0.98
0,192.184898,64.855276,18.795547,4.3425576,470.6731965,2.1597669,5729.0,4.47,0.977727
1,301.17768,30.409951,1.3206356,1.6000996,1052.4255997,34.7561624,4919.6,,6.3070302
1,291.463084,25.189437,0.64971,2.076,620.0,6.23181,9994.0,4.02,2.59
1,304.034336,31.925687,4.4780798,4.513,1054.0,11.3678,7947.0,4.2,1.83
0,63.374706,-69.226593,3.2887898,3.4367717,7005.7247902,10.5135877,5800.0,4.28004,1.24175
1,264.961539,56.078974,13.7431084,2.285,5688.0,12.05,5941.5,,1.34
1,247.534722,80.307766,16.9487087,4.2887767,156467.5479643,45.2204505,5894.7,4.37,1.1179
1,290.708965,56.615386,3.3686634,3.012,3288.0,42.2321,7518.0,3.82,2.68
1,182.538652,77.352264,11.2071839,4.366,3276.0,17.4989,6152.0,3.84,2.24
0,297.710176,48.081864,4.8878037,2.184,4279.0,5.29152,4757.3,4.56,0.76
1,291.92142,36.529898,2.97164,1.534,7350.0,,8562.5,,
1,292.286802,30.297329,0.660179,1.6349369,473.0939303,6.1672487,8598.7,4.1,2.62432
1,266.962207,83.428826,10.9278415,2.468,2743.0,49.1695,6259.0,3.59,2.92
0,161.909027,71.655727,5.5514888,4.335,9493.0,15.8043,6403.9,4.16,1.55
1,300.774016,26.892025,2.3202418,2.3817612,5082.9417064,,8737.5,,
0,6.70264,-56.316102,4.7423709,2.4988145,12650.8110411,10.5505922,5377.0,4.42476,0.877585
0,307.8599,39.938916,1.4810903,4.1588291,6788.5145388,20.3402421,9435.0,4.11,2.28773
0,294.661413,31.2192,3.4741012,3.317,15748.0,21.2912,8894.8,4.38,1.62
1,283.489697,37.380825,6.5011911,5.5463587,4501.3454064,,5485.0,,
1,182.691562,85.705076,6.0360758,1.255,987.0,9.86763,6528.3,4.21,1.69
1,254.924043,64.699214,21.745537,4.196,659.0,2.10208,5704.0,4.51,0.93
1,309.275852,32.471019,1.32003,3.175,552.468,,,,
1,300.419309,26.971662,1.6865822,2.429,1770.0,,,,
1,144.341393,68.458705,13.0727479,3.044,4080.0,35.7944,5709.8,3.37,3.59
1,293.427359,29.596296,2.9258727,4.075,6720.0,24.4055,4884.5,,1.3
1,282.42081,48.098942,0.73774,0.636,524.852,5.28215,6449.5,3.94,2.1
0,357.846434,-70.152862,2.7985802,2.3801043,16708.7151957,11.9514993,4920.0,4.49371,0.906655
1,301.317709,30.67067,2.3664127,2.591,300.0,,,,
0,286.971388,46.868246,1.7635881,3.092,6650.0,,7986.1,,
1,305.289344,41.462366,7.3166682,3.255,3210.0,,8730.0,,
1,294.091757,19.639255,3.0771612,2.6914319,4703.2844346,,9311.3,,
1,307.336613,37.508561,3.2077145,2.708,9640.0,,,,
0,232.146641,66.35871,2.2552845,2.05,20820.0,14.688,5787.0,4.5,0.96
1,293.764981,37.53859,1.8824539,2.46,1391.0,8.29008,5900.4,4.39,1.13
1,198.152378,71.618139,15.196,1.792,1970.0,4.96345,5807.0,,1.14
1,301.710466,38.431023,2.1358631,1.559,10325.0,23.6019,5969.0,4.17,1.5
1,134.120039,72.533276,6.7075429,2.125,11920.0,17.4647,6134.3,,1.24
0,15.006077,-58.904724,3.5862962,3.3710943,5729.3246858,16.4747611,5704.8,3.84,2.00441
1,300.805115,52.040842,1.8296155,2.166,1406.0,29.3616,7875.0,3.61,3.5
1,299.273862,35.988359,11.1876137,3.183,4924.0,31.8624,7266.0,4.06,2.05
1,282.474539,55.26639,7.8513949,6.835,22029.0,,,,
0,197.683097,70.768012,7.0643978,2.424,8268.0,9.39131,5429.6,4.44,0.96
0,209.217175,68.618211,8.9534775,2.696,1136.0,2.35888,5029.5,4.61,0.76
1,289.238688,31.323574,7.5022708,2.605,1760.0,5.55812,6229.0,4.31,1.27
1,247.35668,71.505873,14.0077666,5.8727493,5924.8349672,12.4023108,6557.7,4.18,1.57435
1,297.30004,41.326844,1.692892,2.886,1418.0,11.2371,9121.5,4.21,2.1
1,279.101036,55.391781,2.6652007,3.49,819.0,2.35964,4043.4,4.69,0.56
1,187.055897,67.240043,1.2615323,1.039,2841.0,8.67407,4927.9,4.57,0.78
0,349.559266,-56.903986,6.0344667,1.89,1800.0,4.44029,5586.0,4.36763,1.05
0,214.555774,82.193764,9.6867516,2.512,1669.0,3.00336,4738.1,4.59,0.73
0,297.215817,64.354351,2.1031647,5.059,7142.0,16.7087,6122.0,3.93,1.93
1,201.614657,65.306346,7.6416041,2.654,6025.0,27.538,6496.7,,2.05
1,286.74712,71.712377,5.9294088,2.933,10226.0,10.8101,5095.6,,1.06
0,272.20452,60.678785,5.7484439,1.76,1041.0,2.35215,4534.0,4.61,0.69
1,297.459433,34.829667,1.1967018,1.879,824.0,10.3239,5997.0,4.0,1.73
1,251.633465,65.715035,11.2464616,7.391,7576.0,17.6677,6115.7,3.89,2.01
1,162.893176,81.322174,2.5941968,0.861,907.0,4.47229,6389.0,4.26,1.4
1,306.730853,38.93227,8.5112,3.486,4172.76,,8156.0,4.35,
1,292.223229,24.20119,3.9687994,1.07,1760.0,,5286.9,,
1,99.238421,-58.016153,5.5411114,2.467,633.0,2.04482,5332.0,4.56429,0.82
1,99.238421,-58.016153,10.6917268,3.002,535.0,1.79811,5332.0,4.56429,0.82
1,292.734132,59.403853,3.6950015,4.515,7655.0,14.1288,7106.7,4.2,1.63
1,283.526697,37.720014,15.7335693,3.288,2540.0,24.3218,6800.0,3.91,2.21
1,286.550056,44.0808,45.9403293,3.768,14807.0,28.3312,6479.3,,1.28
1,301.41088,33.049205,2.2219839,1.996,4394.0,15.4416,7166.8,,1.87
0,167.821481,69.964775,2.3106428,1.294,6911.0,8.76741,5339.9,4.41,0.99
1,291.12047,33.273702,4.05135,2.4,1132.23,14.2359,4974.4,,3.85
1,291.707693,17.808736,5.5376617,2.517,5390.0,15.6557,6689.0,3.96,2.06
1,293.26832,15.736136,4.5960377,4.744,5000.0,16.2166,7649.0,4.04,2.12
0,304.800032,32.581045,3.612771,4.142,11794.0,19.3662,8324.0,4.28,1.71
0,166.880658,61.352572,3.6714717,2.149,4340.0,10.678,5618.0,4.06,1.54
0,4.447163,-66.358928,11.535076,8.555958,2389.90616,12.215808,5479.3,3.77,2.48771
1,222.841424,82.952258,0.8352406,1.043,2065.0,6.4875,6105.0,4.31,1.24
0,42.2477,-14.537283,2.4919771,1.4338141,2093.9594201,2.2187585,3948.0,4.68962,0.482388
1,210.427355,-63.852645,,2.726775,878.134108,1.710706,3773.0,4.438,0.577983
0,168.226736,-34.406937,25.5195307,6.6877451,558.3758637,2.9641461,5742.22,4.29,1.17321
1,169.119109,-60.567675,1.3812115,2.7372191,117.7553083,2.2402361,6711.0,4.06358,1.7756799
1,127.128017,-74.954728,2.3922703,9.0053425,63.575141,3.5905923,6090.0,3.29864,4.1956
1,180.325704,-60.200439,0.831542,1.985538,248.969585,1.881684,5824.0,4.438,1.1512
1,116.594329,-64.056009,2.6282553,2.0930597,75.2858004,0.9817044,6282.0,4.37809,1.10743
1,30.508742,-83.227962,3.4239436,1.9601023,443.6391381,1.7581475,5626.0,4.56195,0.823019
1,30.508742,-83.227962,10.983042,3.7478987,725.1724567,2.5070075,5626.0,4.56195,0.823019
1,30.508742,-83.227962,17.726449,3.4404719,747.7725499,2.261664,5626.0,4.56195,0.823019
1,73.541918,-70.379109,40.7199388,4.2436925,355.619391,3.2352713,5914.0,3.98,1.55953
1,331.867517,-41.815511,14.7741056,5.504,15041.0,15.3936,6053.0,4.3135,1.23
1,66.221959,-73.333516,79.3739596,5.392,1227.0,2.17454,5168.33,4.60584,0.77
1,31.178933,-73.126759,18.1663644,2.464,624.0,2.80447,5572.9,3.83,1.14
1,87.874157,-70.991808,105.5850893,11.6068811,462.9116325,2.5033335,5909.57,4.26154,1.1142
1,163.198824,-67.387472,27.2149622,3.7190483,4731.4046225,8.3475973,6270.0,4.54537,0.989667
1,285.049519,-84.448187,19.1807264,3.9621084,544.5602695,2.4311768,5262.4,3.98,0.937973
1,146.87585,-77.296816,1.2124493,0.9984653,501.2911711,0.879419,3751.0,4.75718,0.518
1,87.714849,-75.688563,4.5541831,7.8146963,187.8286128,0.8887417,4280.0,4.61209,0.635812
1,193.260548,-44.09936,41.4856125,6.6899368,959.7522291,12.5121956,6354.0,4.24472,3.4868701
1,71.484109,-68.761805,13.7738265,2.9992376,338.2166234,1.8971927,5455.96,4.46737,1.01825
1,72.332562,-67.368745,1.9142544,3.256,248.0,2.04421,6734.0,4.18582,1.59
0,332.948236,-58.946085,5.0780325,1.2100353,5923.1283069,2.6347763,3318.0,4.9581,0.334125
1,71.650779,-78.561605,70.3607265,1.0325441,1353.9678246,8.2807306,6308.0,3.98679,2.0982201
0,107.921025,-65.508857,91.6827832,9.7504857,713.2183569,3.239855,5802.0,4.44521,1.01814
1,99.224785,-63.079384,10.1944993,2.2648785,317.3261147,2.7392825,6082.0,4.33287,1.32661
1,117.214876,-63.720125,14.64319,2.5483426,242.7923919,3.41248,6516.0,3.99366,2.04178
0,37.197836,-80.899105,4.1782656,1.675904,2537.6781602,2.1023854,3442.0,4.893,0.404403
0,37.197836,-80.899105,17.9453645,3.0740072,5480.684864,3.3839124,3442.0,4.893,0.404403
1,97.166308,-64.596432,13.896396,3.5885605,748.5332881,2.4586343,5522.87,4.67156,0.888163
1,97.166308,-64.596432,8.1213102,3.1040945,594.6443745,2.3157186,5522.87,4.67156,0.888163
1,103.754836,-69.867129,3.9287851,1.8165271,485.9762569,2.329279,5668.15,4.52573,0.986943
0,186.767363,-72.45185,27.3613778,4.0586418,20690.6684294,6.4522449,3050.0,4.438,0.44128
0,107.843685,-68.83334,29.0497517,7.117,318.0,2.84674,8208.0,4.25979,1.8
1,74.130396,-74.920333,31.8132264,11.2567164,11479.375547,21.6314984,6028.84,3.96199,1.98893
0,319.699588,-26.616374,3.3088922,6.114,4736.0,24.9862,6188.0,4.27166,2.62
0,118.129594,-83.825063,25.0571312,7.5424225,533.486013,3.2396838,5696.0,4.26563,1.15281
0,156.74726,-52.467872,24.2454967,3.3725583,6260.6703602,3.878568,3535.0,4.84874,0.465271
1,116.501399,-61.879794,14.2545623,4.7250029,7899.6939555,10.7048234,5739.0,4.28235,1.09597
0,186.574063,-51.363052,14.1758947,3.7543827,907.1324529,2.6231641,5723.87,4.438,0.864173
0,186.574063,-51.363052,19.5901578,4.002861,1182.6678641,3.0026428,5723.87,4.438,0.864173
0,186.574063,-51.363052,6.2036219,3.01098,548.9044399,2.056748,5723.87,4.438,0.864173
0,186.574063,-51.363052,3.79589,2.4602856,317.5272928,1.553135,5723.87,4.438,0.864173
1,290.57223,26.319493,2.2645386,3.8193701,15019.9420903,5.1936764,3443.0,4.81617,0.411471
0,152.218255,69.27662,3.4447015,1.912,796.0,2.00495,3912.0,4.62642,0.63
0,286.040876,36.632536,3.0300715,2.5466671,21794.6136956,12.7529892,5242.82,4.52404,0.857369
0,286.638391,39.487904,12.72038,2.401,1070.0,4.96046,6212.0,4.17664,1.48
0,286.638391,39.487904,6.238755,3.6178567,373.5681138,2.9728283,6212.0,4.17664,1.47768
0,201.382339,68.836068,3.2947689,1.7483103,1324.0402774,2.5248559,3853.0,4.63168,0.62326
0,201.382339,68.836068,0.7645807,1.07057,394.9832006,1.2407226,3853.0,4.63168,0.62326
0,158.011286,84.030377,12.6396982,3.3830702,3292.6812864,4.6025162,5217.0,4.59186,0.789425
1,66.58263,-67.806354,1.8428078,1.449,1950.0,21.2705,5080.0,4.48159,4.09
0,286.110305,43.680961,1.7208555,1.8346409,10014.2587401,13.4646314,5832.83,4.20893,1.33402
1,289.73973,44.647347,4.7802597,1.4588658,1015.4550043,7.6126429,5826.0,3.7213,2.3387201
1,248.553295,60.195927,0.3814849,0.565,570.0,2.0605,4255.0,4.55641,0.71
1,135.732641,71.636416,4.6595169,0.9011821,1725.1706259,2.1961507,3489.0,4.74553,0.490729
0,256.279559,69.519093,6.4002807,2.1559875,1026.6018729,2.2730301,4599.0,4.58487,0.720551
1,283.53553,69.633534,4.8204512,1.756,1930.0,2.36747,3692.0,4.71598,0.52
0,251.11587,70.429992,18.6548829,5.4431451,1495.4449473,4.3869878,5141.0,4.49143,0.876154
0,251.11587,70.429992,4.3074513,2.3379196,1094.8419495,3.2819879,5141.0,4.49143,0.876154
0,251.11587,70.429992,5.9041278,2.7678313,773.9266468,2.4489454,5141.0,4.49143,0.876154
0,251.11587,70.429992,37.9251983,3.5345219,1370.7888539,3.241643,5141.0,4.49143,0.876154
0,227.867864,71.841296,15.9234883,4.021,493.0,2.18203,5711.85,4.38315,1.08
0,259.023592,63.105607,4.3601536,2.3408909,5592.2909183,6.9564258,5227.0,4.50479,0.874131
0,200.561576,66.308533,13.0791581,2.97,1143.0,3.25485,5453.0,4.41707,1.0
0,23.593425,-66.676349,4.6517186,2.709,978.0,2.66889,5154.0,4.47072,0.85
0,23.593425,-66.676349,9.1549418,2.457,1101.0,2.62011,5154.0,4.47072,0.85
0,23.593425,-66.676349,19.9815709,2.724,909.0,2.54717,5154.0,4.47072,0.85
